,stim1,stim2,choice,Reward
0,3,0,1,0
1,2,0,1,0
2,3,1,1,0
3,1,2,0,1
4,0,1,1,0
5,1,3,0,1
6,0,3,1,1
7,2,1,1,1
8,2,1,0,0
9,2,1,1,0
10,2,0,0,0
11,2,0,0,1
12,3,0,1,0
13,3,1,0,1
14,0,3,1,1
15,3,1,1,0
16,3,0,0,1
17,0,1,0,0
18,3,2,1,1
19,2,0,0,0
20,2,0,0,1
21,1,3,1,1
22,1,2,0,0
23,3,1,1,0
24,3,1,0,1
25,3,1,0,1
26,2,3,1,1
27,2,1,1,1
28,0,1,1,1
29,0,1,1,1
30,1,3,1,1
31,1,3,0,1
32,1,3,1,1
33,0,2,1,1
34,1,2,0,1
35,3,1,0,1
36,0,2,0,0
37,2,3,0,0
38,3,1,0,1
39,3,2,0,1
40,3,0,0,1
41,1,3,0,0
42,2,1,0,1
43,0,3,1,1
44,3,0,1,0
45,3,0,0,1
46,1,3,0,1
47,2,1,0,0
48,3,2,1,1
49,2,0,0,1
50,0,2,1,0
51,3,2,1,0
52,3,0,0,1
53,2,0,0,1
54,2,1,0,1
55,3,0,0,1
56,2,1,0,1
57,3,1,1,0
58,2,1,0,1
59,3,2,0,1
60,0,2,1,1
61,0,1,1,0
62,3,0,1,0
63,2,3,0,1
64,2,0,0,0
65,0,1,1,0
66,3,1,0,1
67,0,3,1,1
68,1,0,0,0
69,1,2,1,1
70,3,2,0,1
71,3,1,0,1
72,3,1,0,1
73,3,1,0,1
74,2,1,0,1
75,2,0,0,1
76,0,2,1,1
77,3,0,0,0
78,2,1,1,0
79,3,1,0,1
80,1,2,1,0
81,2,1,1,0
82,1,0,1,0
83,0,1,1,0
84,3,1,0,1
85,0,2,1,1
86,0,1,1,0
87,0,3,0,0
88,2,0,1,0
89,2,1,0,0
90,2,3,1,1
91,1,3,1,1
92,0,1,0,0
93,2,0,0,1
94,1,0,1,0
95,0,2,0,0
96,2,1,0,0
97,3,1,0,1
98,2,0,0,1
99,3,0,0,1
100,1,2,1,1
101,0,2,1,1
102,3,1,0,1
103,2,0,0,1
104,0,3,1,1
105,2,3,1,1
106,3,1,0,1
107,3,2,0,1
108,1,0,0,0
109,2,0,0,1
110,3,1,0,1
111,2,3,1,1
112,0,1,1,0
113,3,0,1,0
114,3,2,0,1
115,3,0,1,0
116,0,2,1,0
117,2,1,1,0
118,1,2,1,1
119,0,3,1,1
120,1,0,1,0
121,1,0,1,0
122,0,2,1,0
123,2,1,1,0
124,3,1,1,1
125,3,2,0,0
126,0,3,0,1
127,0,2,1,1
128,3,1,1,1
129,2,0,0,0
130,2,0,1,0
131,2,3,1,1
132,2,1,1,1
133,1,2,0,0
134,1,3,1,1
135,3,2,0,1
136,1,0,1,0
137,0,1,0,0
138,3,0,1,1
139,1,3,1,1
140,2,1,1,1
141,3,1,0,1
142,2,0,0,1
143,3,1,1,1
144,0,1,1,0
145,3,1,1,0
146,0,1,0,0
147,3,1,1,0
148,3,1,0,1
149,1,3,1,1
150,3,1,0,1
151,1,3,1,1
152,1,3,0,1
153,0,3,1,1
154,1,2,0,0
155,3,2,0,1
156,1,0,1,0
157,0,1,1,0
158,2,3,0,0
159,2,3,0,0
160,1,0,0,0
161,0,3,0,0
162,1,0,1,0
163,0,3,1,1
164,0,3,1,1
165,1,3,1,1
166,0,2,1,0
167,3,2,0,1
168,1,3,1,1
169,2,3,1,1
170,3,0,0,1
171,3,0,0,1
172,1,3,1,1
173,0,2,1,1
174,0,1,1,0
175,2,0,1,0
176,1,2,1,1
177,2,3,0,0
178,1,2,1,1
179,2,3,1,1
180,0,1,1,0
181,3,0,0,0
182,2,0,0,1
183,2,1,0,1
184,1,3,1,1
185,1,0,1,0
186,1,0,1,0
187,1,2,1,1
188,0,1,0,0
189,2,0,0,1
190,1,0,0,0
191,3,1,1,1
192,3,1,1,0
193,3,0,0,1
194,2,0,0,1
195,1,3,0,0
196,2,1,0,0
197,3,2,0,1
198,0,2,1,1
199,2,1,0,0
200,2,3,0,1
201,2,1,0,0
202,0,2,0,0
203,3,1,0,1
204,3,0,0,0
205,3,1,0,1
206,2,3,1,0
207,2,0,1,1
208,0,2,1,1
209,0,2,1,1
210,1,3,0,0
211,2,0,1,0
212,1,0,0,0
213,0,2,1,1
214,2,0,0,1
215,3,1,0,1
216,1,0,0,1
217,2,0,0,1
218,3,0,0,1
219,3,1,1,0
220,2,0,0,1
221,1,3,1,0
222,2,0,1,0
223,3,1,1,0
224,1,0,1,0
225,1,2,0,1
226,1,3,0,1
227,3,2,1,1
228,1,0,1,0
229,1,2,1,0
230,1,3,1,1
231,2,3,1,1
232,2,0,0,1
233,3,2,0,0
234,1,2,1,0
235,3,2,1,0
236,2,1,1,0
237,2,3,1,1
238,1,2,0,0
239,1,0,0,0
240,3,2,1,1
241,3,2,1,1
242,2,1,1,0
243,2,3,1,1
244,0,2,1,1
245,3,1,0,1
246,0,1,1,0
247,1,2,0,0
248,0,3,1,1
249,3,2,0,1
250,2,0,1,0
251,1,3,1,1
252,1,3,1,0
253,3,0,0,1
254,0,1,0,0
255,1,2,1,0
256,2,1,0,1
257,0,1,1,0
258,1,3,1,0
259,2,1,0,0
260,3,1,0,1
261,1,2,0,0
262,0,3,0,0
263,3,2,1,0
264,3,2,0,0
265,1,2,1,1
266,1,0,1,0
267,0,2,1,1
268,2,0,0,0
269,2,3,1,1
270,1,0,0,0
271,0,2,1,1
272,2,1,0,1
273,1,3,0,0
274,3,0,0,0
275,2,1,0,1
276,2,1,0,1
277,2,3,0,1
278,0,1,0,1
279,2,1,0,1
280,3,2,1,1
281,2,1,1,1
282,0,3,1,0
283,0,2,1,1
284,0,1,0,0
285,0,2,1,1
286,2,3,0,1
287,0,1,0,1
288,1,0,0,0
289,0,3,0,0
290,2,3,0,1
291,0,3,0,0
292,2,3,0,1
293,2,0,1,0
294,3,1,0,1
295,3,2,1,1
296,1,3,0,0
297,2,1,0,1
298,2,0,0,1
299,1,0,1,0
300,1,3,0,0
301,3,1,0,0
302,0,2,1,1
303,0,3,1,1
304,2,0,1,0
305,0,3,0,0
306,0,1,1,1
307,0,2,1,1
308,2,1,0,1
309,0,3,1,1
310,3,2,1,1
311,0,2,1,1
312,3,2,0,1
313,0,3,0,0
314,3,0,1,0
315,1,3,0,0
316,0,2,1,1
317,3,0,0,1
318,1,3,1,0
319,2,1,0,1
320,3,0,1,0
321,1,0,1,0
322,2,3,1,1
323,1,3,1,1
324,0,2,1,1
325,3,1,0,0
326,2,1,0,1
327,0,2,1,0
328,2,0,0,0
329,1,2,1,0
330,2,3,0,1
331,1,2,1,1
332,0,3,0,0
333,1,3,1,1
334,0,2,1,0
335,3,0,0,1
336,2,1,1,1
337,2,1,0,1
338,2,0,0,1
339,3,2,1,1
340,0,3,1,1
341,1,2,1,1
342,2,0,0,1
343,2,0,0,0
344,3,1,0,1
345,2,1,0,0
346,2,0,0,0
347,2,0,1,0
348,1,3,1,0
349,3,1,0,0
350,3,2,1,0
351,1,3,0,0
352,1,2,1,0
353,0,1,0,1
354,1,2,0,0
355,3,2,0,1
356,3,0,1,0
357,3,1,0,1
358,3,0,0,0
359,0,2,0,0
360,1,3,1,1
361,3,0,0,1
362,1,2,1,1
363,3,1,1,1
364,0,1,1,1
365,2,1,1,0
366,3,2,0,1
367,1,0,1,0
368,1,0,0,0
369,1,2,0,0
370,0,1,1,1
371,3,2,0,1
372,3,1,1,1
373,2,1,1,1
374,2,0,1,0
375,1,2,0,0
376,0,1,0,0
377,2,3,0,1
378,2,0,1,0
379,2,0,0,0
380,2,1,1,0
381,2,0,1,1
382,0,2,1,1
383,0,3,0,0
384,3,0,0,1
385,0,1,1,0
386,2,3,0,0
387,2,0,0,1
388,1,2,0,0
389,0,3,0,0
390,3,0,0,1
391,3,1,0,1
392,3,1,0,1
393,2,0,1,0
394,1,3,1,1
395,2,3,0,0
396,3,1,0,1
397,2,3,1,0
398,0,1,0,0
399,1,0,0,1
400,1,2,0,0
401,2,3,0,0
402,2,0,0,1
403,1,0,0,0
404,0,1,0,0
405,2,1,0,0
406,1,0,1,0
407,2,3,0,1
408,2,3,1,1
409,1,2,0,0
410,2,1,1,0
411,0,3,1,1
412,3,2,1,1
413,0,3,1,1
414,3,2,0,1
415,0,3,1,0
416,1,2,0,0
417,3,2,0,1
418,0,2,0,0
419,2,3,0,1
420,3,1,0,1
421,1,3,0,0
422,1,3,1,1
423,1,3,1,1
424,1,2,0,0
425,0,2,0,0
426,3,0,0,1
427,1,0,1,0
428,0,2,1,1
429,2,3,1,1
430,2,0,1,0
431,3,0,0,1
432,0,1,1,1
433,2,0,1,0
434,2,1,1,0
435,3,2,0,1
436,2,0,0,0
437,0,1,1,1
438,1,2,1,1
439,3,0,0,1
440,2,3,0,0
441,1,3,1,0
442,3,2,0,1
443,3,1,1,1
444,0,1,1,0
445,0,2,1,1
446,3,0,0,1
447,2,3,0,1
448,2,1,1,0
449,1,0,1,0
450,1,2,1,1
451,3,0,0,1
452,2,0,0,0
453,1,3,1,1
454,0,1,1,0
455,1,3,1,1
456,3,2,0,1
457,1,0,1,0
458,0,2,1,1
459,3,1,0,1
460,3,0,0,1
461,2,0,0,1
462,0,2,0,0
463,1,0,0,0
464,2,3,1,1
465,1,2,1,1
466,3,1,0,1
467,1,3,1,1
468,0,2,1,1
469,1,3,1,1
470,0,3,1,1
471,3,0,0,0
472,0,3,1,1
473,2,1,0,1
474,3,1,1,0
475,1,2,1,0
476,0,3,1,1
477,0,1,0,0
478,0,2,1,1
479,0,3,0,0
480,2,0,0,1
481,1,2,1,0
482,0,1,0,0
483,3,2,1,1
484,3,2,0,1
485,3,2,0,1
486,1,0,0,0
487,2,0,0,1
488,0,1,0,0
489,3,0,0,1
490,1,0,0,0
491,1,3,1,0
492,0,2,1,1
493,3,1,0,1
494,0,3,1,1
495,0,3,1,1
496,2,3,0,1
497,2,0,1,0
498,1,3,1,1
499,0,3,1,1
500,2,1,0,0
501,2,1,0,0
502,3,1,0,1
503,0,1,0,1
504,0,2,0,1
505,2,0,1,0
506,1,0,1,0
507,0,1,0,0
508,3,1,0,1
509,1,2,1,0
510,3,2,0,0
511,0,1,1,0
512,0,1,1,1
513,3,0,1,0
514,3,1,0,1
515,0,3,1,0
516,1,0,0,1
517,2,3,1,1
518,3,2,1,0
519,0,1,1,0
520,0,3,1,1
521,2,3,0,1
522,2,1,1,0
523,3,1,0,0
524,2,0,0,1
525,0,3,1,1
526,2,3,1,0
527,0,1,1,0
528,2,1,0,1
529,0,3,1,1
530,1,0,0,0
531,2,3,1,1
532,2,0,0,1
533,0,3,1,1
534,3,2,0,1
535,2,3,1,1
536,1,3,1,1
537,1,3,1,1
538,1,2,1,1
539,0,3,1,1
540,3,0,1,0
541,1,0,1,0
542,1,3,0,0
543,1,0,1,0
544,3,1,1,1
545,0,1,1,1
546,2,0,1,0
547,1,0,1,0
548,3,2,1,1
549,3,1,0,1
550,3,2,1,0
551,0,3,1,1
552,3,2,1,1
553,0,2,1,1
554,2,1,0,1
555,3,0,0,1
556,2,0,0,1
557,0,2,0,0
558,2,3,1,0
559,0,3,1,1
560,2,3,1,1
561,1,2,0,0
562,1,2,1,1
563,3,1,0,1
564,2,3,1,1
565,1,3,1,1
566,0,2,0,0
567,3,1,0,1
568,2,1,1,0
569,0,3,0,0
570,0,1,0,0
571,1,0,0,1
572,3,0,0,1
573,0,2,1,0
574,1,2,1,1
575,1,0,0,0
576,0,3,0,0
577,2,1,0,1
578,3,1,1,0
579,2,0,0,1
580,3,1,0,1
581,2,1,1,1
582,3,1,0,1
583,1,2,0,0
584,0,1,1,0
585,2,3,1,1
586,3,2,0,1
587,2,3,1,1
588,2,1,1,1
589,1,0,0,1
590,1,3,1,1
591,2,1,0,1
592,3,2,1,1
593,3,0,0,1
594,3,0,0,1
595,3,1,0,1
596,1,3,1,1
597,1,2,0,1
598,2,3,0,1
599,2,0,0,0
600,0,1,1,1
601,3,0,0,1
602,1,0,0,0
603,2,1,1,0
604,0,1,1,0
605,1,0,1,0
606,2,0,1,0
607,3,0,0,1
608,2,1,0,0
609,3,2,1,1
610,2,1,1,0
611,1,2,0,0
612,0,2,1,0
613,2,1,0,0
614,0,1,1,0
615,0,1,0,0
616,3,1,0,0
617,1,0,1,0
618,3,2,1,1
619,3,0,0,1
620,3,1,0,1
621,1,0,0,0
622,2,3,1,0
623,0,2,1,1
624,0,2,1,1
625,3,1,0,1
626,2,3,1,1
627,0,1,1,1
628,2,0,1,0
629,1,3,0,0
630,2,0,0,1
631,2,1,1,0
632,0,1,0,1
633,1,3,1,0
634,1,2,1,1
635,2,1,1,1
