,stim1,stim2,choice,Reward
0,2,0,0,1
1,3,0,0,0
2,2,0,0,0
3,3,2,0,0
4,3,2,0,0
5,3,2,0,1
6,3,1,0,0
7,2,1,0,0
8,3,0,1,1
9,3,0,0,0
10,0,1,1,0
11,3,2,1,1
12,2,0,0,0
13,2,0,0,0
14,0,3,1,0
15,2,1,1,1
16,0,2,0,1
17,3,0,1,1
18,2,0,1,1
19,2,0,1,1
20,0,2,0,1
21,0,2,1,0
22,2,1,1,1
23,2,1,1,1
24,3,2,1,1
25,2,0,1,1
26,0,1,1,0
27,3,1,1,1
28,1,2,1,0
29,2,1,1,1
30,0,2,1,1
31,0,3,0,1
32,0,3,1,0
33,3,0,1,1
34,3,1,0,0
35,2,0,0,1
36,0,1,1,0
37,0,3,0,1
38,2,0,1,1
39,0,2,1,0
40,3,1,1,0
41,2,0,1,1
42,0,2,0,1
43,1,2,1,0
44,1,3,1,0
45,2,1,1,0
46,1,2,1,0
47,3,2,1,1
48,2,0,1,1
49,1,2,0,1
50,1,0,1,0
51,1,0,1,0
52,3,0,0,0
53,2,1,0,1
54,1,3,0,0
55,1,3,0,0
56,2,1,0,1
57,2,0,1,0
58,0,1,1,0
59,0,2,0,1
60,2,1,0,0
61,0,1,0,0
62,2,0,0,0
63,3,0,1,1
64,1,0,1,0
65,3,1,0,1
66,3,0,1,0
67,3,2,1,0
68,0,2,1,1
69,3,0,1,0
70,1,0,1,0
71,2,0,1,0
72,0,3,1,1
73,3,2,1,1
74,3,1,0,1
75,2,3,0,1
76,2,3,0,1
77,2,3,1,1
78,3,2,0,1
79,3,2,0,1
80,2,3,1,1
81,2,0,1,0
82,1,3,1,1
83,0,2,1,0
84,0,1,1,0
85,2,0,0,1
86,0,1,1,1
87,3,1,0,1
88,3,0,0,1
89,3,1,1,1
90,2,3,0,1
91,3,1,0,1
92,3,2,1,1
93,2,3,0,0
94,3,0,0,1
95,3,1,1,0
96,1,0,0,0
97,1,0,0,1
98,1,0,1,0
99,1,2,0,0
100,2,3,1,0
101,2,1,0,1
102,1,2,0,1
103,1,2,0,1
104,3,2,1,1
105,2,0,0,1
106,3,1,1,1
107,3,1,1,0
108,0,2,1,0
109,1,2,0,1
110,0,3,1,0
111,3,0,0,0
112,2,3,1,0
113,1,3,0,1
114,1,3,0,1
115,1,0,0,0
116,2,3,0,0
117,1,3,0,1
118,0,2,0,0
119,0,3,0,1
120,0,1,1,1
121,1,0,0,1
122,0,3,1,0
123,2,0,1,0
124,3,0,0,0
125,0,1,1,1
126,1,2,0,1
127,1,3,0,1
128,0,3,0,1
129,2,0,1,1
130,1,2,0,0
131,3,2,0,0
132,0,3,0,1
133,3,1,1,1
134,0,2,0,1
135,2,3,0,0
136,1,0,1,1
137,3,1,1,1
138,0,3,1,0
139,3,0,1,0
140,3,2,1,0
141,2,1,1,0
142,3,2,0,0
143,0,2,0,1
144,2,0,1,0
145,0,2,1,1
146,2,0,0,0
147,1,3,0,1
148,2,1,1,1
149,1,2,0,0
150,2,0,0,1
151,2,3,0,0
152,1,3,0,1
153,1,3,0,1
154,3,1,1,0
155,3,1,1,0
156,3,0,1,0
157,1,0,1,0
158,2,3,0,1
159,3,1,0,1
160,1,3,1,0
161,3,1,0,1
162,2,0,1,1
163,3,2,1,0
164,1,3,1,1
165,0,1,0,1
166,1,3,1,1
167,2,3,0,1
168,1,0,1,0
169,0,3,1,1
170,0,1,1,1
171,3,1,1,0
172,2,3,1,0
173,0,1,1,1
174,0,2,0,0
175,3,0,0,0
176,1,2,0,0
177,0,1,1,0
178,2,0,0,1
179,2,3,1,1
180,1,3,1,1
181,1,0,0,0
182,1,3,0,1
183,2,1,0,0
184,3,2,0,1
185,3,2,1,0
186,1,3,0,1
187,3,2,0,1
188,3,0,0,0
189,3,1,1,0
190,2,3,0,0
191,0,1,1,0
192,2,0,1,0
193,3,2,0,1
194,3,1,1,0
195,1,0,1,0
196,0,3,0,0
197,0,2,1,0
198,3,1,0,1
199,2,0,1,0
