,stim1,stim2,choice,Reward
0,1,3,1,1
1,1,2,0,1
2,0,3,1,1
3,0,3,0,1
4,3,1,0,1
5,3,0,1,0
6,1,0,0,1
7,0,1,1,1
8,2,0,0,1
9,0,3,1,0
10,3,2,0,1
11,2,1,1,0
12,1,3,1,1
13,0,3,0,0
14,2,0,0,1
15,1,0,0,0
16,1,0,1,0
17,2,0,0,1
18,0,1,1,0
19,0,3,1,1
20,1,0,1,0
21,3,2,0,1
22,0,3,1,1
23,2,3,0,1
24,3,0,0,1
25,1,2,1,1
26,1,0,0,0
27,2,3,1,0
28,0,2,1,1
29,0,3,0,1
30,2,0,1,0
31,1,0,1,0
32,3,2,0,1
33,3,0,1,0
34,0,1,1,1
35,2,1,1,0
36,2,3,0,1
37,1,3,1,0
38,3,1,0,1
39,2,3,1,1
40,1,2,1,0
41,0,3,0,0
42,2,3,1,1
43,0,3,1,1
44,1,3,1,1
45,0,1,0,1
46,1,3,1,1
47,3,1,0,0
48,0,2,0,0
49,3,2,0,0
50,1,2,0,0
51,3,2,0,1
52,1,0,1,0
53,0,1,0,0
54,2,0,0,1
55,3,1,0,1
56,2,0,1,0
57,1,2,1,1
58,1,0,1,0
59,2,3,1,0
60,2,3,0,1
61,2,0,0,1
62,2,3,0,1
63,1,3,1,1
64,3,1,0,1
65,0,3,0,0
66,3,2,1,1
67,2,1,0,0
68,3,0,0,1
69,3,0,0,0
70,1,3,0,0
71,0,1,1,0
72,2,1,0,1
73,1,3,1,1
74,1,2,1,1
75,2,1,0,0
76,2,0,1,0
77,0,3,0,0
78,3,2,0,1
79,2,0,1,0
80,3,1,0,1
81,1,3,1,1
82,2,0,0,1
83,2,1,1,1
84,0,1,1,0
85,3,1,1,0
86,3,0,1,1
87,3,1,1,0
88,0,2,1,1
89,0,1,1,0
90,1,3,1,1
91,0,1,1,0
92,3,2,1,1
93,0,2,1,1
94,0,1,0,0
95,2,0,0,1
96,2,3,1,1
97,3,2,0,1
98,3,1,1,1
99,1,2,1,0
100,1,2,1,1
101,3,2,0,0
102,1,2,1,1
103,1,2,1,1
104,2,3,0,0
105,2,0,1,0
106,1,3,0,0
107,3,2,1,1
108,0,3,1,0
109,1,3,0,0
110,1,2,0,0
111,3,2,1,1
112,0,1,1,0
113,3,1,1,1
114,3,0,1,0
115,1,0,0,1
116,3,0,0,1
117,3,0,0,1
118,3,1,1,0
119,0,2,1,0
120,0,2,0,1
121,3,2,1,1
122,0,1,1,0
123,0,1,0,0
124,1,2,1,1
125,3,2,0,1
126,0,2,0,0
127,1,0,0,0
128,1,0,0,0
129,3,1,0,1
130,1,2,1,0
131,2,0,1,0
132,0,3,1,1
133,2,1,0,1
134,2,1,0,0
135,2,3,0,0
136,1,0,1,0
137,0,1,1,0
138,0,2,1,0
139,1,2,1,1
140,2,3,1,1
141,0,2,1,1
142,1,2,0,0
143,3,0,0,1
144,3,1,0,1
145,0,3,1,1
146,0,3,1,1
147,0,2,1,1
148,1,0,1,0
149,0,2,1,1
150,2,0,0,1
151,0,3,1,1
152,1,2,1,0
153,3,0,0,1
154,0,2,1,0
155,3,2,0,1
156,1,3,1,0
157,2,3,1,1
158,1,0,1,0
159,0,1,1,0
160,1,3,1,1
161,3,0,1,0
162,1,0,0,0
163,0,1,0,0
164,0,3,0,0
165,2,0,0,1
166,2,3,1,0
167,3,1,0,1
168,3,0,0,0
169,2,3,0,1
170,2,0,0,0
171,3,0,1,0
172,2,0,0,1
173,0,2,1,0
174,1,3,1,0
175,0,1,0,0
176,0,1,1,1
177,1,2,0,1
178,3,0,1,0
179,2,3,1,1
180,2,1,1,1
181,3,0,0,1
182,0,1,0,0
183,0,3,1,1
184,3,2,1,1
185,0,3,1,1
186,3,2,1,1
187,2,3,0,1
188,1,0,0,1
189,1,2,0,0
190,2,3,1,1
191,1,0,0,0
192,1,3,1,1
193,1,0,0,0
194,0,1,1,0
195,2,0,0,1
196,3,1,1,0
197,3,2,1,1
198,0,3,0,0
199,3,1,1,0
200,0,3,1,1
201,2,1,0,1
202,1,2,1,0
203,1,2,0,0
204,2,1,1,1
205,1,2,0,0
206,1,2,0,0
207,0,3,0,0
208,3,0,0,1
209,0,2,0,0
210,0,1,0,0
211,3,0,0,0
212,2,3,1,1
213,1,0,0,0
214,1,0,1,0
215,3,0,0,1
216,3,2,0,1
217,1,0,1,1
218,1,2,0,0
219,1,3,1,1
220,1,3,1,1
221,1,2,1,1
222,0,3,1,1
223,0,1,1,0
224,3,1,1,0
225,1,3,1,1
226,1,0,1,0
227,1,0,1,1
228,3,1,0,1
229,0,1,0,0
230,2,0,1,0
231,1,2,1,1
232,2,1,0,0
233,3,1,0,1
234,3,0,0,1
235,1,3,1,1
236,3,1,0,1
237,2,1,1,0
238,2,3,1,1
239,0,3,1,1
240,1,2,0,0
241,3,0,0,1
242,3,0,1,0
243,3,1,0,0
244,2,0,0,0
245,1,3,0,1
246,2,0,1,0
247,0,3,0,0
248,3,0,0,1
249,2,1,0,1
250,1,3,1,0
251,0,2,1,0
252,1,0,0,1
253,1,3,0,0
254,3,1,1,0
255,2,3,1,1
256,2,1,1,1
257,1,3,1,0
258,3,2,1,1
259,1,3,0,0
260,1,2,1,1
261,0,1,1,0
262,0,1,1,0
263,1,3,0,0
264,3,0,1,0
265,1,0,0,0
266,1,0,1,0
267,3,0,0,0
268,0,1,0,0
269,3,0,1,0
270,3,0,0,1
271,2,3,0,1
272,2,0,0,1
273,1,0,0,0
274,2,0,0,0
275,0,2,1,1
276,2,1,0,0
277,1,2,0,0
278,3,2,0,1
279,0,1,1,0
280,3,0,1,0
281,0,1,0,0
282,3,2,0,1
283,2,3,0,0
284,1,2,1,1
285,0,3,0,0
286,2,3,1,1
287,2,1,0,0
288,3,0,0,1
289,0,1,0,0
290,1,3,1,0
291,1,2,1,1
292,2,0,0,0
293,2,1,0,0
294,1,3,1,1
295,3,1,1,0
296,1,0,0,0
297,1,2,1,1
298,3,0,1,1
299,3,2,1,1
300,3,0,1,0
301,2,1,0,1
302,0,1,1,0
303,0,1,0,0
304,3,2,0,1
305,3,0,1,0
306,0,1,1,0
307,2,1,0,1
308,3,0,0,1
309,1,2,1,1
310,3,0,1,1
311,1,3,1,1
312,0,1,0,0
313,0,2,1,1
314,2,0,0,1
315,3,0,1,0
316,3,2,0,0
317,0,2,1,1
318,0,2,1,1
319,1,0,1,1
320,2,0,0,1
321,2,1,0,0
322,2,0,0,1
323,3,1,0,1
324,1,2,1,1
325,3,1,0,0
326,2,3,1,0
327,2,3,0,1
328,1,0,0,0
329,3,2,1,0
330,2,3,1,1
331,1,3,1,1
332,3,2,1,0
333,0,2,1,1
334,2,3,0,0
335,3,0,0,1
336,3,1,1,0
337,2,1,0,0
338,0,1,0,0
339,1,3,0,1
340,3,2,0,0
341,1,2,0,0
342,0,2,0,0
343,1,2,1,0
344,2,3,1,0
345,1,0,1,0
346,1,2,0,0
347,3,2,0,1
348,3,0,0,1
349,2,1,1,0
350,0,3,0,0
351,1,3,1,0
352,1,3,0,1
353,2,0,1,0
354,0,2,0,0
355,3,0,0,1
356,1,3,1,1
357,1,3,1,1
358,2,3,0,0
359,3,2,1,0
360,3,0,1,0
361,3,2,0,1
362,0,2,1,0
363,1,3,1,1
364,2,3,1,1
365,3,1,0,1
366,0,1,0,0
367,0,1,1,0
368,1,3,1,1
369,1,3,0,0
370,3,0,0,1
371,2,0,1,0
372,2,1,1,0
373,1,3,1,0
374,3,1,0,0
375,0,3,0,0
376,1,2,0,0
377,3,0,1,0
378,2,0,0,1
379,2,3,0,1
380,0,2,1,1
381,2,1,0,1
382,2,1,0,1
383,1,3,0,0
384,3,0,0,1
385,0,2,0,1
386,2,1,0,1
387,3,0,0,1
388,2,3,1,1
389,2,3,0,1
390,3,2,0,1
391,0,1,1,1
392,0,2,0,0
393,1,0,1,0
394,2,1,0,1
395,0,2,1,1
396,2,0,1,0
397,1,0,0,0
398,1,0,0,1
399,3,1,1,0
400,2,3,1,0
401,1,2,1,0
402,2,0,0,1
403,1,3,0,0
404,0,2,1,1
405,2,3,0,0
406,3,2,1,1
407,1,3,1,0
408,3,2,1,1
409,0,3,0,0
410,2,3,1,1
411,0,2,1,0
412,1,0,1,1
413,3,0,0,1
414,2,3,1,1
415,0,1,0,0
416,1,2,1,0
417,2,3,1,0
418,2,1,0,0
419,2,3,1,1
420,3,1,1,1
421,0,2,0,0
422,3,1,1,1
423,0,1,1,1
424,1,0,0,0
425,0,3,0,0
426,0,3,1,0
427,0,2,0,0
428,0,2,1,0
429,1,2,0,0
430,0,3,1,1
431,2,3,0,1
432,0,1,1,0
433,1,0,0,0
434,2,1,0,0
435,3,2,1,1
436,3,0,0,0
437,3,1,0,1
438,2,0,0,1
439,1,3,1,1
440,3,0,0,1
441,3,2,0,1
442,1,3,0,0
443,3,0,0,1
444,1,2,1,1
445,2,1,0,1
446,3,1,1,0
447,1,2,1,0
448,0,3,1,1
449,0,3,0,0
450,1,3,1,1
451,2,1,0,1
452,2,0,0,1
453,1,3,1,1
454,1,3,1,1
455,1,0,0,1
456,0,3,0,0
457,0,3,1,1
458,3,0,0,1
459,0,2,1,0
460,2,0,1,0
461,2,3,1,1
462,0,3,1,1
463,3,1,1,0
464,2,1,1,1
465,0,3,1,1
466,1,0,1,0
467,2,0,1,0
468,1,0,1,0
469,3,0,0,0
470,3,2,1,1
471,1,0,1,0
472,2,0,0,1
473,1,3,0,0
474,1,2,1,1
475,3,0,0,1
476,2,1,0,1
477,0,3,1,1
478,0,1,1,1
479,1,0,0,0
480,0,3,1,1
481,1,2,1,1
482,0,1,1,0
483,3,2,1,1
484,3,2,0,1
485,2,0,0,1
486,2,3,1,1
487,0,3,1,0
488,2,3,0,0
489,2,0,0,0
490,0,2,0,0
491,3,0,1,0
492,2,0,1,0
493,0,3,0,0
