,stim1,stim2,choice,Reward
0,2,3,1,1
1,1,0,1,0
2,1,2,1,0
3,2,0,1,0
4,1,0,1,0
5,3,0,0,1
6,1,2,0,0
7,0,1,1,1
8,3,1,0,1
9,1,2,0,0
10,2,0,0,0
11,3,0,0,0
12,1,3,0,0
13,1,2,1,0
14,2,3,0,1
15,3,1,1,0
16,3,2,1,1
17,3,1,0,1
18,3,1,1,1
19,2,1,1,0
20,2,1,0,1
21,3,0,1,0
22,0,1,0,0
23,1,2,1,1
24,0,2,1,1
25,3,2,1,1
26,3,1,1,1
27,2,3,1,1
28,2,0,1,0
29,3,2,1,0
30,0,1,1,1
31,2,0,1,0
32,2,1,1,0
33,0,3,1,1
34,3,2,0,1
35,3,1,1,0
36,1,0,1,0
37,2,3,0,0
38,3,1,0,0
39,1,2,0,1
40,0,3,1,1
41,0,3,1,1
42,2,3,0,0
43,1,3,0,1
44,0,2,1,0
45,0,2,0,0
46,0,3,0,0
47,3,0,1,0
48,0,2,0,0
49,3,0,0,1
50,3,2,1,0
51,3,0,0,1
52,0,1,0,0
53,3,2,0,1
54,0,3,1,1
55,1,2,1,1
56,1,2,0,0
57,0,2,1,1
58,3,2,0,1
59,0,2,1,1
60,3,1,0,1
61,1,0,0,1
62,1,0,0,1
63,2,1,1,0
64,1,3,1,1
65,1,2,0,0
66,0,1,1,1
67,1,0,1,0
68,2,0,0,0
69,0,1,1,0
70,2,0,1,1
71,2,3,0,1
72,1,2,0,1
73,0,2,1,1
74,2,3,0,1
75,0,2,0,0
76,2,0,0,1
77,2,0,0,1
78,3,2,1,1
79,1,2,1,1
80,3,2,1,1
81,0,3,1,1
82,1,3,1,1
83,0,1,1,1
84,1,0,1,0
85,2,0,0,0
86,0,1,0,0
87,0,1,1,0
88,2,1,0,1
89,3,1,1,1
90,3,0,0,1
91,1,2,1,1
92,0,1,0,0
93,1,2,1,1
94,0,1,1,1
95,0,3,0,0
96,2,1,1,0
97,3,1,0,1
98,1,2,1,1
99,2,3,0,0
100,2,3,1,1
101,2,1,0,0
102,2,0,1,0
103,3,0,0,1
104,3,2,1,1
105,1,0,0,1
106,1,0,0,0
107,0,2,0,0
108,0,3,1,1
109,1,2,0,0
110,3,2,1,1
111,1,3,0,1
112,2,0,0,0
113,0,3,1,1
114,1,2,0,0
115,1,2,1,1
116,1,3,1,1
117,0,1,0,0
118,3,1,1,0
119,3,0,0,1
120,2,0,0,1
121,3,1,1,0
122,3,2,0,1
123,2,3,0,0
124,3,1,0,1
125,1,3,1,1
126,3,2,1,1
127,1,3,1,1
128,3,0,1,0
129,1,3,0,0
130,3,0,0,1
131,2,3,0,0
132,2,1,0,1
133,2,3,0,0
134,1,3,1,1
135,0,3,1,0
136,1,3,1,1
137,0,1,1,1
138,2,1,1,0
139,0,1,0,0
140,2,0,1,0
141,1,0,0,0
142,2,1,0,1
143,3,1,1,0
144,0,2,0,0
145,0,1,0,0
146,0,1,1,1
147,0,1,1,0
148,3,1,1,0
149,0,1,0,0
150,1,0,0,0
151,1,3,1,1
152,0,3,1,1
153,2,0,1,0
154,3,1,0,0
155,3,1,1,0
156,2,1,1,1
157,3,2,1,1
158,1,3,0,1
159,2,1,1,0
160,0,1,1,1
161,1,3,1,1
162,1,0,0,0
163,3,2,1,1
164,0,3,0,0
165,0,3,1,0
166,3,2,1,0
