,stim1,stim2,choice,Reward
0,1,0,1,0
1,3,0,0,0
2,3,2,0,1
3,2,1,1,0
4,2,1,0,1
5,3,1,0,0
6,2,1,0,0
7,2,1,1,0
8,1,0,0,0
9,2,3,1,0
10,3,0,0,1
11,2,0,1,0
12,3,0,0,0
13,1,3,1,1
14,1,2,1,0
15,2,0,1,0
16,2,1,0,1
17,2,0,0,1
18,3,2,0,1
19,3,2,1,0
20,2,1,1,0
21,0,1,0,0
22,3,1,0,0
23,3,0,0,1
24,3,1,0,1
25,0,3,1,1
26,2,3,1,1
27,1,0,1,0
28,1,3,1,0
29,1,2,1,0
30,1,2,0,0
31,0,2,0,0
32,3,0,0,0
33,2,0,0,0
34,0,1,0,0
35,1,2,1,0
36,0,1,0,0
37,1,0,1,0
38,0,1,0,1
39,3,2,0,1
40,3,1,0,1
41,1,3,1,0
42,3,2,1,0
43,1,0,0,0
44,1,3,1,1
45,2,0,0,0
46,3,0,1,0
47,0,1,0,0
48,2,1,1,1
49,3,1,0,1
50,0,1,1,0
51,2,0,0,1
52,3,1,0,0
53,3,1,1,0
54,0,3,0,0
55,1,2,1,1
56,1,2,1,1
57,3,2,1,0
58,1,0,0,0
59,1,2,1,0
60,3,1,1,0
61,0,3,1,1
62,2,0,1,0
63,2,1,1,0
64,2,0,1,0
65,2,0,1,0
66,1,2,0,0
67,2,0,0,1
68,0,2,1,0
69,0,3,0,0
70,3,0,1,1
71,2,1,0,1
72,2,0,0,1
73,0,2,0,0
74,2,1,1,0
75,3,0,0,1
76,1,3,1,1
77,0,3,0,0
78,2,0,1,0
79,3,0,0,0
80,1,0,0,0
81,3,0,0,1
82,0,3,1,1
83,1,2,1,0
84,3,2,0,1
85,2,0,1,0
86,0,3,1,0
87,1,3,1,0
88,0,2,0,0
89,3,2,1,1
90,3,0,0,1
91,1,2,1,1
92,3,2,1,1
93,3,0,1,0
94,3,0,0,1
95,0,2,1,1
96,2,0,0,0
97,0,1,0,0
98,1,2,1,1
99,0,2,1,0
