,stim1,stim2,choice,Reward
0,1,3,1,0
1,3,2,1,0
2,2,0,1,0
3,2,0,1,0
4,1,0,1,0
5,1,0,1,0
6,0,1,1,0
7,2,3,0,1
8,1,0,0,0
9,2,0,0,1
10,2,3,0,1
11,3,2,1,0
12,2,3,1,1
13,2,0,1,0
14,3,1,0,1
15,3,0,0,1
16,2,0,0,1
17,2,1,0,1
18,3,2,0,0
19,3,0,0,1
20,1,0,1,0
21,0,1,1,0
22,0,3,1,1
23,2,3,0,0
24,0,1,0,0
25,0,1,1,0
26,1,2,1,0
27,2,0,0,1
28,3,0,1,0
29,0,2,1,1
30,2,3,0,1
31,3,2,1,0
32,1,0,1,0
33,3,2,0,1
34,3,2,0,1
35,1,2,1,1
36,1,2,1,1
37,2,0,0,0
38,0,1,0,0
39,2,0,0,1
40,3,1,1,0
41,0,1,0,0
42,1,0,1,0
43,3,0,0,1
44,0,2,0,0
45,1,2,0,1
46,0,3,0,1
47,0,3,0,0
48,1,2,0,1
49,0,2,1,1
50,0,2,1,1
51,3,2,1,0
52,3,0,0,1
53,0,3,1,1
54,1,0,0,0
55,2,1,0,1
56,3,0,1,0
57,1,2,0,1
58,1,0,1,0
59,2,3,1,0
60,1,0,1,0
61,1,3,0,0
62,3,0,1,0
63,1,3,0,0
64,2,0,0,0
65,3,2,0,1
66,2,3,1,1
67,3,0,0,1
68,2,3,1,0
69,0,1,0,0
70,2,3,1,1
71,3,2,0,1
72,3,0,0,1
73,2,3,1,0
74,3,1,1,0
75,1,3,1,1
76,2,1,0,1
77,0,1,1,0
78,3,0,1,0
79,2,1,0,0
80,2,1,0,1
81,0,1,1,1
82,3,0,1,0
83,3,1,0,1
84,2,0,0,1
85,1,0,0,0
86,2,3,1,1
87,0,1,1,0
88,2,1,1,0
89,3,2,1,1
90,0,1,0,1
91,3,1,1,0
92,2,0,0,1
93,0,1,1,0
94,1,2,1,1
95,2,0,0,1
96,0,1,0,0
97,1,3,0,0
98,0,1,1,1
99,2,0,0,0
100,1,3,1,1
101,3,0,0,1
102,2,0,1,0
103,0,2,1,1
104,3,1,0,1
105,2,0,0,1
106,0,3,1,1
107,1,0,1,0
108,2,0,1,0
109,1,0,0,0
110,1,0,0,0
111,2,1,0,0
112,3,2,0,1
113,0,1,1,0
114,0,3,0,0
115,0,1,0,0
116,3,1,0,1
117,3,1,0,1
118,3,0,1,0
119,0,2,0,0
120,0,1,1,0
121,1,3,1,0
122,1,2,1,1
123,0,2,0,1
124,3,2,0,1
125,3,0,0,0
126,2,0,0,1
127,2,3,0,0
128,3,0,1,0
129,2,3,1,1
130,1,2,1,1
131,1,3,1,0
132,3,1,0,1
133,3,1,0,0
134,1,0,1,0
135,1,3,1,1
136,3,2,1,1
137,1,2,1,0
138,2,0,0,0
139,2,3,0,1
140,3,1,0,1
141,0,3,1,1
142,0,1,1,0
143,1,0,1,0
144,3,0,0,1
145,2,1,0,1
146,0,2,1,1
147,1,3,1,1
148,3,2,1,0
149,1,3,1,0
150,0,2,0,0
151,0,1,1,1
152,3,0,0,1
153,3,1,0,1
154,1,0,1,0
155,1,2,0,0
156,1,0,1,0
157,3,1,0,1
158,2,0,1,0
159,2,1,1,0
160,1,3,1,1
161,1,3,0,0
162,0,2,1,1
163,2,1,0,0
164,1,0,0,0
165,2,3,1,1
166,0,2,0,0
167,2,0,1,0
168,1,3,0,1
169,3,0,0,0
170,0,2,0,0
171,1,3,1,1
172,3,1,0,1
173,3,2,1,1
174,2,1,0,0
175,1,0,0,0
176,2,1,1,1
177,2,0,0,0
178,0,3,1,1
179,3,1,1,0
180,3,0,0,1
181,2,0,0,1
182,3,0,0,1
183,1,2,1,0
184,1,3,1,0
185,3,1,0,1
186,2,3,1,1
187,3,0,0,1
188,0,2,1,1
189,0,2,1,1
190,0,3,1,1
191,3,0,0,1
192,1,0,1,0
193,3,1,0,1
194,3,2,0,0
195,0,1,1,0
196,0,2,1,1
197,1,3,1,1
198,1,0,0,0
199,1,3,1,1
200,0,3,0,0
201,0,1,1,1
202,0,1,1,1
203,0,1,0,0
204,3,2,0,1
205,3,0,0,1
206,0,3,0,0
207,1,0,0,0
208,3,2,1,1
209,2,1,1,0
210,2,3,1,1
211,2,3,1,1
212,2,1,0,0
213,1,2,1,0
214,0,1,1,1
215,3,0,0,1
216,3,1,1,1
217,1,0,0,1
218,3,2,1,1
219,2,0,1,0
220,0,3,1,1
221,3,0,1,0
222,1,2,0,0
223,3,0,1,0
224,3,1,0,0
225,1,3,1,1
226,0,1,1,1
227,2,0,0,1
228,1,0,0,1
229,1,2,0,0
230,3,0,1,0
231,2,1,1,0
232,1,0,1,0
233,2,3,0,0
234,2,1,0,0
235,3,2,0,1
236,0,1,1,0
237,0,1,0,0
238,1,3,0,1
239,3,1,0,1
240,3,1,0,0
241,0,1,1,0
242,1,0,1,0
243,1,0,1,0
244,2,1,1,1
245,3,1,1,0
246,1,3,0,0
247,0,2,0,0
248,1,2,1,0
249,0,1,1,1
250,3,2,1,1
251,1,3,1,1
252,3,2,0,1
253,3,2,1,0
254,2,0,1,0
255,0,3,1,1
256,1,3,1,1
257,1,0,1,1
258,3,2,0,1
259,0,3,1,0
260,2,3,0,1
261,2,3,0,1
262,1,0,0,1
263,1,2,0,0
264,2,0,0,0
265,2,3,0,0
266,3,0,1,0
267,1,2,0,1
268,0,3,1,1
269,3,2,0,0
270,1,2,0,0
271,0,3,1,1
272,3,2,0,1
273,2,0,1,0
274,3,1,0,1
275,2,3,1,1
276,1,0,1,0
277,1,3,1,1
278,2,1,0,0
279,1,2,0,0
280,1,0,0,0
281,1,0,0,0
282,2,1,0,1
283,0,1,1,1
284,0,1,1,0
285,2,0,0,0
286,3,1,0,0
287,0,3,0,0
288,2,3,0,1
289,0,2,0,0
290,3,2,1,0
291,3,0,1,1
292,3,0,0,1
293,3,2,0,1
294,3,1,1,1
295,2,0,1,0
296,1,3,0,0
297,2,3,1,1
298,3,0,1,0
299,3,2,0,1
300,1,3,1,1
301,0,2,1,0
302,3,1,1,0
303,1,0,1,1
304,0,3,0,0
305,0,1,1,0
306,0,3,1,1
307,2,0,0,0
308,3,2,1,1
309,2,0,1,0
310,3,2,1,1
311,2,1,0,1
312,2,0,0,1
313,1,2,0,0
314,1,3,1,1
315,3,2,0,1
316,1,0,0,0
317,2,3,0,1
318,1,3,1,1
319,2,0,0,1
320,0,1,0,0
321,0,1,1,0
322,2,0,0,1
323,2,1,0,1
324,1,3,0,1
325,2,0,0,0
326,2,0,0,1
327,1,0,0,0
328,2,1,0,1
329,2,3,0,1
330,2,1,0,1
331,0,1,1,0
332,3,1,0,0
333,0,2,1,0
334,2,0,0,0
335,0,1,1,0
336,1,3,1,1
337,0,1,0,0
338,3,0,1,0
339,2,1,1,0
340,2,1,1,0
341,0,3,0,0
342,3,0,0,0
343,3,0,0,0
344,1,0,0,1
345,2,3,1,1
346,0,1,1,0
347,2,0,0,1
348,1,2,0,0
349,1,0,1,0
350,1,0,0,1
351,2,1,0,1
352,3,0,1,0
353,0,3,0,0
354,1,0,0,0
355,3,0,1,0
356,3,2,0,1
357,0,2,0,0
358,1,2,0,0
359,2,0,1,0
360,3,1,0,0
361,1,2,0,0
362,2,1,0,0
363,2,0,1,0
364,3,2,0,1
365,3,0,1,0
366,2,0,1,0
367,1,0,0,0
368,1,2,1,1
369,1,3,0,0
370,3,2,0,1
371,2,1,0,0
372,3,2,0,1
373,1,3,1,1
374,2,0,1,0
375,0,3,1,1
376,3,2,1,0
377,1,0,1,0
378,3,2,1,0
379,3,0,0,1
380,0,2,1,1
381,0,2,1,1
382,2,0,0,0
383,3,1,1,1
384,0,2,0,0
385,1,2,1,0
386,1,3,1,1
387,1,0,1,0
388,3,0,0,1
389,0,1,0,0
390,2,3,1,1
391,2,0,1,0
392,2,0,1,0
393,2,0,0,0
394,2,3,1,1
395,1,0,1,0
396,2,3,1,1
397,1,3,1,1
398,0,3,0,0
399,3,1,0,1
400,2,3,0,0
401,1,2,1,1
402,0,1,0,0
403,3,0,0,1
404,1,2,1,1
405,0,2,1,0
406,2,0,0,1
407,1,0,1,0
408,2,0,0,1
409,0,2,1,1
410,2,3,1,1
411,2,3,0,1
412,2,1,0,0
413,0,1,0,0
414,2,0,0,1
415,0,3,1,1
416,1,0,1,0
417,2,3,0,1
418,3,0,0,1
419,3,1,0,1
420,2,0,1,0
421,3,0,0,1
422,2,0,0,1
423,2,1,0,1
424,2,3,0,0
425,3,0,1,0
426,3,1,0,1
427,2,1,0,0
428,2,1,1,0
429,1,2,1,1
430,3,2,0,1
431,3,0,1,0
432,1,2,0,0
433,2,1,0,1
434,1,0,0,0
435,0,2,0,0
436,1,0,0,0
437,2,1,0,1
438,3,2,0,1
439,3,2,0,1
440,2,0,0,1
441,1,0,0,0
442,0,2,1,1
443,0,3,1,1
444,2,3,0,0
445,0,1,1,0
446,1,0,0,0
447,1,2,1,1
448,2,3,1,0
449,1,3,0,0
450,3,1,1,0
451,0,2,1,1
452,3,1,0,1
453,0,2,0,0
454,2,1,0,1
455,0,3,1,1
456,1,2,1,1
457,3,0,0,0
458,3,2,1,1
459,3,0,0,1
460,2,3,0,1
461,0,2,1,0
462,0,2,1,0
463,1,0,1,0
464,1,2,1,1
465,3,2,1,1
466,2,1,1,0
467,1,3,1,1
468,0,2,0,0
469,1,2,1,1
470,1,3,1,1
471,3,1,0,1
472,1,0,0,1
473,0,2,1,1
474,0,1,0,0
475,2,3,1,1
476,0,3,1,0
477,1,3,1,1
478,3,2,1,1
479,1,2,1,1
480,3,0,0,1
481,2,1,1,0
482,0,3,0,0
483,2,0,1,0
484,2,0,0,0
485,1,3,0,0
486,3,1,0,1
487,0,3,1,1
488,1,0,1,0
489,3,2,0,0
490,3,1,1,0
491,3,1,0,1
492,3,1,1,0
493,0,1,0,0
494,0,2,0,0
495,3,2,0,0
496,0,3,1,0
497,3,1,0,1
498,0,1,0,0
499,1,2,1,1
